"Date","Primary Sales USD"
"2019-10-27",44655502.04
"2019-10-28",44685691.72
"2019-10-29",44719291.6
"2019-10-30",44755260.65
"2019-10-31",44777264.61
"2019-11-01",44805495.79
"2019-11-02",44830469.59
"2019-11-03",44875540.13
"2019-11-04",44904744.43
"2019-11-05",44917938.71
"2019-11-06",44952614.49
"2019-11-07",45003062.45
"2019-11-08",45021716.96
"2019-11-09",45039240.61
"2019-11-10",45056217.59
"2019-11-11",45074994.51
"2019-11-12",45096962.57
"2019-11-13",45113285.13
"2019-11-14",45130090.81
"2019-11-15",45141964.87
"2019-11-16",45151258.33
"2019-11-17",45165440.55
"2019-11-18",45178215.54
"2019-11-19",45191903.3
"2019-11-20",45206389.68
"2019-11-21",45218875.79
"2019-11-22",45226620.9
"2019-11-23",45237047.45
"2019-11-24",45247923.8
"2019-11-25",45259543.39
"2019-11-26",45272842.78
"2019-11-27",45285634.84
"2019-11-28",45296785.29
"2019-11-29",45313929.76
"2019-11-30",45326207.94
"2019-12-01",45339973.76
"2019-12-02",45346093.33
"2019-12-03",45353622.39
"2019-12-04",45360540.55
"2019-12-05",45446354.63
"2019-12-06",45453530.29
"2019-12-07",45463331.78
"2019-12-08",45474764.92
"2019-12-09",45487410.51
"2019-12-10",45507342.52
"2019-12-11",45531288.86
"2019-12-12",45545619.42
"2019-12-13",45557637.14
"2019-12-14",45571219.7
"2019-12-15",45597070.65
"2019-12-16",45612303.2
"2019-12-17",45631350.93
"2019-12-18",45795863.39
"2019-12-19",45851681.55
"2019-12-20",45902686
"2019-12-21",45954594.85
"2019-12-22",45984876.8
"2019-12-23",46034005.82
"2019-12-24",46075325.98
"2019-12-25",46106531.1
"2019-12-26",46160778.68
"2019-12-27",46201171.97
"2019-12-28",46208580.74
"2019-12-29",46226112.87
"2019-12-30",46235043.82
"2019-12-31",46241828.44
"2020-01-01",46253567.41
"2020-01-02",46262728.25
"2020-01-03",46274111.82
"2020-01-04",46285645.43
